"category","date_in","date_in_posix","clerk_id_in","type_code","product_scancode","customer_no_sold","p_description"
2,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd1197",NA,"toy,  puzzle or game"
3,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd786",NA,"blankets and linens"
3,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd1200",NA,"blankets and linens"
3,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd1180",NA,"blankets and linens"
3,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd5787",NA,"book"
3,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd5776",NA,"book"
2,"01/14/2004 12:00:00 AM","1074067200","SUE",2,"wd5766",NA,"toy,  puzzle or game"
3,"01/14/2004 12:00:00 AM","1074067200","SUE",2,"wd260",NA,"sox"
3,"01/14/2004 12:00:00 AM","1074067200","SUE",2,"wd252",NA,"sox"
3,"01/14/2004 12:00:00 AM","1074067200","SUE",2,"wd295",NA,"sox"
3,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd244",NA,"sox"
3,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd268",NA,"sox"
3,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd276",NA,"sox"
1,"01/16/2004 12:00:00 AM","1074240000","LEA",2,"wb3677",NA,"shirt"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd897",5637,"sandal or shoe"
2,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd1061",NA,"toy,  puzzle or game"
2,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd1042",NA,"toy,  puzzle or game"
3,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd737",NA,"tights"
1,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd741",NA,"overalls"
1,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd1049",NA,"shirt"
1,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd1074",NA,"pj,  night gowns,  robes"
1,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wc2616",NA,"dress"
2,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd721",NA,"toy,  puzzle or game"
3,"01/14/2004 12:00:00 AM","1074067200","SUE",2,"wd1366",600,"back pack"
1,"01/14/2004 12:00:00 AM","1074067200","SUE",2,"wd1406",NA,"2 or 3 piece sets"
1,"01/14/2004 12:00:00 AM","1074067200","SUE",2,"wd761",NA,"cotton one piece outfit or set"
1,"01/14/2004 12:00:00 AM","1074067200","SUE",2,"wc2587",NA,"cotton one piece outfit or set"
1,"01/14/2004 12:00:00 AM","1074067200","SUE",2,"wc2624",NA,"pj,  night gowns,  robes"
1,"01/14/2004 12:00:00 AM","1074067200","SUE",2,"wc2575",NA,"dress"
1,"01/14/2004 12:00:00 AM","1074067200","SUE",2,"wc2591",NA,"pants"
3,"01/14/2004 12:00:00 AM","1074067200","SUE",2,"wd757",NA,"tights"
1,"01/14/2004 12:00:00 AM","1074067200","SUE",2,"wd1065",NA,"cotton one piece outfit or set"
1,"01/14/2004 12:00:00 AM","1074067200","SUE",2,"wd753",NA,"pj,  night gowns,  robes"
1,"01/14/2004 12:00:00 AM","1074067200","SUE",2,"wc2595",NA,"overalls"
1,"01/14/2004 12:00:00 AM","1074067200","SUE",2,"wd881",NA,"2 or 3 piece sets"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1621",NA,"cotton one piece outfit or set"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1609",NA,"cotton one piece outfit or set"
3,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1684",NA,"slipper"
3,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1605",NA,"slipper"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1675",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1671",NA,"shirt"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1678",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1674",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1601",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1900",NA,"pants"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1912",NA,"pants"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1897",NA,"pants"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1901",NA,"pants"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1905",NA,"shirt"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1913",NA,"shirt"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1885",NA,"shirt"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1881",NA,"pants"
2,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd688",NA,"toy,  puzzle or game"
2,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd692",NA,"toy,  puzzle or game"
